seed,N,p,number_of_shortcuts,status,total_spikes,last_spike_time,persistence_duration,spikes_in_final_window
0,100,0.1,10,FAILURE,100,26.0,16.0,0
1,100,0.1,10,FAILURE,100,50.0,40.0,0
2,100,0.1,10,FAILURE,100,32.0,22.0,0
3,100,0.1,10,SUCCESS,674,200.0,190.0,68
4,100,0.1,10,FAILURE,100,34.0,24.0,0
5,100,0.1,10,FAILURE,100,44.0,34.0,0
6,100,0.1,10,FAILURE,100,33.0,23.0,0
7,100,0.1,10,FAILURE,100,29.0,19.0,0
8,100,0.1,10,FAILURE,100,45.0,35.0,0
9,100,0.1,10,FAILURE,100,37.0,27.0,0
10,100,0.1,10,FAILURE,100,29.0,19.0,0
11,100,0.1,10,FAILURE,100,36.0,26.0,0
12,100,0.1,10,FAILURE,100,33.0,23.0,0
13,100,0.1,10,FAILURE,100,49.0,39.0,0
14,100,0.1,10,SUCCESS,595,200.0,190.0,69
15,100,0.1,10,FAILURE,100,34.0,24.0,0
16,100,0.1,10,FAILURE,100,30.0,20.0,0
17,100,0.1,10,SUCCESS,577,200.0,190.0,51
18,100,0.1,10,FAILURE,100,43.0,33.0,0
19,100,0.1,10,FAILURE,100,33.0,23.0,0
